premise,hypothesis,label,premise_en,hypothesis_en,source
لا استطيع التفكير أنه سيحدث أقل فرق  إذا فعل ذلك  ، قال سيادته  بوقار .,سواء اخترت أن تتصرف أم لا، معاليه لم يعتقد أن الأمر كان سيغير شيئاً.,0,"I can't think that it would make the least difference if he did,  said his lordship gravely.","Whether or not he chose to act, his lordship did not believe it would have changed anything.",xnli
دعى وزير الدفاع الوحشى جوستاف نوسكى  للإطاحة ب الحركة فى  ٤٠٠٠ فريكوربس )قوات العاصفة اليمينية ) ,أراد نوسك أن تستمر الأمور بالطريقة الصحيحة.,2,"The ruthless defense minister Gustav Noske called in 4,000 Freikorps (right-wing storm-troopers) to smash the movement.",Noske wanted things to continue right away.,xnli
المرأة تنظر إلى منظر المدينة,امرأة تنظر إلى منظر المدينة,0,The woman is looking at the view of a city,A woman is looking at the view of a city,arNLI
لا يوجد كلب يركض عبر الثلج,كلب يركض عبر الثلج,2,No dog is running through the snow,A dog is running through the snow,arNLI
رجل يجلس على العشب ويشرب من قنينة ماء,رجل يجلس على العشب ويشرب من قنينة ماء,0,A man is sitting on the lawn and drinking from a water bottle,A man is sitting on the grass and drinking from a water bottle,arNLI
وآمل أن تدعموا الجهود الفنية والتربوية للمسرح المدني مرة أخرى هذا العام.,المسرح المدني يحتاج إلى دعمك.,0,"And, I hope that you will support the artistic and educational efforts of Civic Theatre again this year.",The Civic Theater needs your support.,xnli
يقوم رجلان بعمل مسرحية هزلية مع ملاكم أمام حشد من الناس,الشباب يرقصون أمام بعض الناس,1,Two men are doing a funny skit with a boxer in front of a crowd of people,Young men are dancing in front of some people,arNLI
ليس هناكفتاة تقفز الأزرق في الهواء,فتاة صغيرة  ترتدي قميصا أزرق يقفز في الهواء,2,There is no girl in blue jumping in the air,A young girl in a blue leotard is jumping in the air,arNLI
هذه الأشياء ليست من الصميم الداخلي للرجل، في حين أن الأسلوب هو الرجل في حد ذاته.,اختيار الملابس هو جزء مهم من أسلوب الشخص.,1,"These things are outside of man, while style is man himself.",Clothing selection is an important part of a person's style.,xnli
لا توجد امرأة تحضر بيضة في مقلاة,امرأة تحضر بيضة في مقلاة,2,There is no woman preparing an egg in a skillet,A woman is preparing an egg in a skillet,arNLI
وتكهن محققو مكتب التحقيقات الفيدرالية بأن القاعدة ربما تكون وجهت مسلمين آخرين متطرفين في منطقة فينيكس للالتحاق بالتدريب على الطيران.,وجد محققو مكتب التحقيقات الفيدرالي 100 متطرف آخر في فينيكس.,1,FBI investigators have speculated that al Qaeda may have directed other extremist Muslims in the Phoenix area to enroll in aviation training.,FBI investigators found 100 other extremists in Phoenix.,xnli
ويتبع نشر كتاب RPH جولة مع الكتاب ، الأمر الذي يؤدي إلى الحقيقة القادمة حول,لم يكن هناك جولة كتاب لذلك.,2,"The publication of the RPH book is followed by the book tour, which leads to the next fact about the",There was no book tour for it.,xnli
هناك العديد من الخيارات للهجوم على منطق هذه الحجة الكونية ، وقد جربهم المعارضون المعاصرين للدين.,تم الاتفاق على النقاش الكوني واتفق عليه جميع من قرأه.,2,"There are many options for attacking the logic of this cosmological argument, and contemporary opponents of theism have tried them all.",This cosmological argument has been accepted and approved by everyone who reads it.,xnli
تتسابق دراجة بيضاء ودراجة صفراء على المسار,تتسابق سيارة بيضاء وسيارة صفراء على المسار,1,A white bike and a yellow bike are racing down the track,A white car and a yellow car are racing down the track,arNLI
إدارة التغيير في الصناعات البريدية والتسليم ، الطبعة.,يجب إدارة التغيير في صناعات البريد والتسليم.,0,"Managing Change in the Postal and Delivery Industries, Ed.",Change in the Postal and Delivery Industries needs to be managed.,xnli
الآن أصبح لدى شقيقة في ألمانيا,لدي أخت في كوبا الآن.,2,and now i have got a sister in Germany,I have a sister that is right now in Cuba.,xnli
الشرطي  يجلس على دراجة الشرطة,هذا  حيوان  يرعى على العشب,1,The cop is sitting on a police bike,The animal is grazing on the grass,arNLI
صبي يرتدي قميصًا مخططًا يقفز خلف نافورة ماء,صبي يقفز من جانب نافورة مياه حجرية أمام مبنى,1,A boy in a striped shirt is jumping behind a water fountain,A boy is jumping off the side of a stone water fountain in front of a building,arNLI
لا يوجد كلب بني يقفز في الهواء,يقفز كلب بني في الهواء,2,There is no brown dog jumping in the air,A brown dog is jumping in the air,arNLI
ولد صغير بخوذة الدراجة الزرقاء وامرأة بخوذة الدراجة الخضراء يركبون دراجات في الشارع مع راكبين الدراجات المختلفين.,أم وابنها يركوبون دراجات مع آخرين في شارع.,1,A little boy with a blue bike helmet and a woman in a green bike helmet are riding bikes down a street with other various bike riders.,A mother and her son ride bikes with others down a street.,snli
يركض ثلاثة شبان بشراسة ويقفزون ويركلون بالقرب من آلة بيع,ثلاثة رجال يقفزون من الحائط,1,"Three young men are furiously running, jumping and kicking near a vending machine",Three men are jumping off a wall,arNLI
بعد ثلاثة أشهر من التسجيل، يقوم الممثلون الميدانيون بتقييم عينة من مطالبات كل مقدم جديد لمعرفة ما إذا كانت هناك أية مشكلات تجب مناقشتها.,لا يناقش الممثلون الميدانيون الدعاوى.,2,"Three months after enrollment, the field representatives evaluate a sample of each new provider's claims to see if there are any issues that should be discussed.",The field representatives do not discuss claims.,xnli
آه، هذا صحيح، إنه حقًا ليس متسق,أنت على صواب بأنها غير متسقة.,0,uh-huh that's true it is it's not really uh consistent,You are correct about it not be consistent.,xnli
لقد أصبحنا معتادون على سماع الشركات الأمريكية التي تشتكي من المنافسة الأجنبية، فمن السهل رؤية اتهامات كوداك بعد الهزيمة بأنها أكثر نزعة.,تستجيب الشركات الأمريكية للمنافسة الأجنبية.,0,We've become so accustomed to hearing U.S. companies complain about foreign competition that it's easy to see Kodak's post-defeat recriminations as just more whining.,U.S. companies respond to foreign competition.,xnli
امرأة تتحدث على الهاتف,امرأة لا تتكلم على الهاتف,2,A woman is talking on a telephone,A woman is not talking on a telephone,arNLI
رجلان يسبحان في المياه العميقة,رجلان يمشيان في الماء,1,Two men are swimming in deep water,Two men are walking through the water,arNLI
الجزء كان ، كان هناك 158 جزءًا منه ، وكان علينا أن نكسره وجعله يتراجع معًا ولا يخطئ أبداً.,لم يكن مسموحًا لنا بلمسها على الإطلاق.,2,"The part was, there was 158 parts to it and we had to break it down put it back together break it down and never make a mistake.",We weren't allowed to touch it at all.,xnli
اعتقد أننا سنتساوى بهم في المرتب وفي المكانة على المدي البعيد,أي الخيارين لابد وأن يدفع أكثر من سعر السوق العادي خلال العقد المقبل.,1,and uh i think that we are going to be uh on par with them in salary and in recognition in the long term,Both of these options should pay well over normal market rate over the next decade.,xnli
"ولد في عام 1880, أو شئ مثل 188, أظن أنها كانت 1889 ، أعتقد أنها كانت كذلك عندما ولد.",لم يولد حتى عام 1984.,2,"He was born in 1880 something, like 188, I think it was 1889, I think it was when he was born.",He wasn't born until 1984.,xnli
لا يهمني كيف تفعل ذلك.,أنا لا أهتم بأى لون تختاره .,1,I don't care how you do it.,I don't care which color you choose.,xnli
دكتور سبونر الجيد، هو رجل لطيف ذو شعر أبيض ووجه ملائكي، خدم الكلية الجديدة لمدة نصف قرن كعالم متميز ومدير قادر.,ترك طبيب. سبونر كلّيّة جديد بعد يخدم عشرون سنة كطالب ومدير.,2,"The good Dr. Spooner, a kind man with white hair and cherubic face, served New College for a half century as distinguished scholar and able administrator.",Dr. Spooner left New College after serving twenty years as a scholar and administrator.,xnli
يصفره-يي هذا التعبير الحالي ليكون من جنوب ميدلاند ومن جنوب الولايات المتحدة ، ويعني أن يكون على وشك الدخول.,هذا التعبير في جنوب ميدلاند يعني أنا جائع.,2,RH-II labels this current expression to be of South Midland and southern U.S. origin and means  to be on the verge of.,This South Midland expression means I'm hungry.,xnli
شخص يعزف على البوق ,شخص  يستمع إلى عزف البوق,1,A person is playing a trumpet,A person is listening to a trumpet playing,arNLI
والكثير من هذا بسبب حقيقة أن الأمهات تتعاطى المخدرات,الأمهات هم مدمنو المخدرات.,1,and that's a lot of it is due to the fact that the mothers are on drugs,The mothers are drug addicts.,xnli
نعم لم يكونوا بالطبع لم يكونوا يتحدثون عن اه حيث تعلمون أنك غير قادر على العناية بهم ، ولكن هل تعلم أنهم سيأتون من عائلات كبيرة,الجميع يعتني بأسرته، مهما كان الوضع.,2,yeah they weren't course they weren't talking about uh where you know you're absolutely unable to care for them but it was it you know they would come from large extended families,"Everyone takes care of their own family, no matter what.",xnli
إنها الحقيقة، أنت أحمق.,انها خاطئة تماما.,2,"It's the truth, you fool.",It is absolutely false.,xnli
رجل يقود سيارة,رجل يقود سيارة,0,A man is driving a vehicle,A man is driving a car,arNLI
أحتاجك لتفعل شيئا ما من أجلي .,لا أحتاج لأي مساعدة.,2,I need you to do something for me.,I don't need any help.,xnli
قطة في منطقة رملية بها الرمل الذي يتم تحريكه في الهواء وهناك عدة نباتات في الخلفية,كلب في الرمال التي تهب في الريح,1,A cat is in a sandy area with the sand that is being stirred up into the air and several plants are in the background,A dog is in the sand that is blowing in the wind,arNLI
ثلاثة أطفال يضعون أذرع الصبي بالأسفل بينما صبي آخر في قبعة يطلق مدفع المياه في وجهه.,تحمل الفتيات الثلاث الصبي في حين تقوم صديقته بإطلاق الماء عليه.,2,Three children hold a boy's arms down while another boy in a hat shoots a water gun at him.,The three girls hold the boy down while his girlfriend shoots water at him.,snli
تقع البحيرة نفسها بين العديد من الجبال العالية، بما في ذلك جبال سكافيل بايك، وهي الأعلى في إنجلترا ويبلغ ارتفاعها 977 م (3،205 قدم).,وهناك عدد قليل من الجبال، بما في ذلك سكافيل بايك، مغمورة بالكامل في البحيرة.,2,"The lake itself lies in the shadow of several high mountains, including Scafell Pike, the highest in England at 977 m (3,205 ft).","A few mountains, including the Scafell Pike, are fully submerged in the lake.",xnli
رغم ذلك، قامت مدينة باريس مؤخرا بإنشاء طرق لركوب الدراجات في كل أنحاء المدينة كي تجعل هذه الرياضة أكثر أمانا و شعبية.,إنها أكثر أمانًا للدورة في باريس.,0,"Even so, Paris recently created miles of cycling lanes that crisscross the entire city, making bicycling much safer (and more popular).",It's safer to cycle in Paris.,xnli
فتاة ترتدي زيا أزرق اللون تنزل ذراعها,الفتاة في الزي الأزرق والأبيض تهتف ,1,"A girl in a uniform, which is blue, is lowering her arm",The girl in the blue and white uniform is cheering,arNLI
وقالت امرأة أنها أطلقت النار,امرأة تطلق النار من بندقية,0,A woman is firing a weapon,A woman is firing a rifle,arNLI
الشاب يتسلق الصخور,الرجل الذي يرتدي قبعة أرجوانية لا يتسلق جدارًا صخريًا بيده العارية,1,The young man is rock climbing,A man in a purple hat isn't climbing a rocky wall with bare hands,arNLI
رجل يغني في ميكروفون القديم,رجل يرقص تحت المطر,1,A man is singing into an old microphone,A man is dancing in the rain,arNLI
يذكر الرب فقط أنه رب الطبيعة، بموجب أن كل شخص يحق له محطة منفصلة ومتساوية في مجتمع الأمم.,لا يمكن أبداً أن يكون الناس متساوين.,2,"God is mentioned only as  nature's God,  by virtue of which every people is entitled to  a separate and equal station  in the community of nations.",People are never equal.,xnli
فتاة صغيرة ترتدي قميصًا على شكل قلب ترفع يديها وهي تنزلق,طفل أشقر ينزل على زلاجة ويلقي ذراعيه,1,A young girl with a heart tank top is raising her hands as she is sliding,A blond child is going down a slide and throwing up his arms,arNLI
رجل يشارك في سباق BMX,رجل يرتدي زيا أحمر يقفز في سباق دراجات ترابية,1,A man is participating in a bmx race,A man in a red uniform is making a jump in a dirt bike race,arNLI
رجل يفتح علبة تحتوي على سماعات رأس,امرأة تركب الخيل ,1,A man is opening a package that contains headphones,A woman is riding a horse,arNLI
شخصين يجلسون على مقعد في حديقة في يوم حار,شخصين يجلسون على مقعد في حديقة في يوم مشمس,1,Two people are sitting on a park bench on a hot day,Two people are sitting on a park bench on a sunny day,arNLI
عندما تتراكم الرمال ، تصل في نهاية المطاف إلى زاوية الراحة للرمل ، كما تمتد إلى حدود الجدول.,الرمال دائما مسطحة وسلسة.,2,"As the sand piles up, it eventually reaches the rest angle for sand and also extends to the boundaries of the table.",The sand is always flat and smooth.,xnli
رجل يعزف على البيانو ,رجل يعزف على الفلوت الخشبي,1,A man is playing the piano,A man is playing a wooden flute,arNLI
رجل إزالة الثوم من بعض شرائح من الخبز,رجل يضع الثوم على بعض شرائح الخبز,1,A man is removing the garlic from some slices of bread,A man is putting garlic on some bread slices,arNLI
ولعب عدد قليل من الحيوانات في الماء,وتلعب بعض الحيوانات بعنف في الماء,0,A few animals are playing in the water,Some animals are playing wildly in the water,arNLI
وكان غير عادي قليلا ، لكن تمالقيام به من خلال الرعاية .,ليس كل هذا شائع.,0,which is a little unusual but its done through the auspices,It is not all tha common.,xnli
من ناحية أخرى ، حصل على مارك توين بينه وبين ضوء النهار.,لم ير ضوء النهار منذ سنوات.,1,"On the other hand, he's got Mark Twain between him and daylight.",He has not seen daylight in years.,xnli
على سبيل المثال، كلمات مثل ايريل (ماذا يحدث، أو O.K),إيرل يمكن أن تعني أن هناك شيئا حسنا,0,"For example, such words as erale (what's happening, or O.K.)",Erale can mean that something is O.K.,xnli
لدي حديقة شجر برمودا هنا واه تتطلب الكثير من الماء وعليك أن تبقيها قصيراً جداً إذا كنت تريد أن تبدو مثل ملعب الجولف الأخضر,يمكن تزيين مروج برمودا لتبدو كملاعب الجولف الخضراء.,0,i have a tiff Bermuda lawn here and uh it requires a lot of water and you have to keep it cut very short if you want it to look like a golf course green,Bermuda lawns can be made to look like golf course greens.,xnli
زوجان يستمتعان بوجبة بينما حفنة من الكلاب تأخذ قيلولة.,الزوجان يأكلان شريحة لحم.,1,"couples enjoying a meal, while a bunch of dogs take a nap.",THE COUPLE ARE EATING STEAK,snli
امرأة تقف بالقرب من ثلاثة متاجر، اثنان منها لديها أعمال فنية جميلة والمتجر الآخر مكتوب عليه لارغو.,امرأة تجلس بجانب علامة وقوف بالقرب من حمام بالخارج.,2,"A woman is standing near three stores, two have beautiful artwork and the other store has Largo written on it.",A woman sitting next to a stop sign near a rest stop bathroom outside.,snli
طفلان يلعبان كرة القدم في الحديقة,لا يوجد أطفال صغار يلعبون في الخارج بكرة قدم على العشب الأخضر,1,Two children are playing soccer in the park,There are no little boys playing outside with a soccer ball on the green grass,arNLI
"إلى جانب المعجم, تغيرت قواعد اللغة-- خاصة بناء الجملة-- أيضا تغير إلى حد ما, رغم أنها لم تكن مبهمة بالنسبة للقارئ المتوسط.",تغيرت القواعد ولكن ليس كثيرا.,0,"Besides the lexicon, grammar--especially syntax--has changed somewhat, too, though again not so much as to be incomprehensible to the average modern reader.",Grammar has changed but not too much.,xnli
أنتقل ، في القسم الأخير من هذا الفصل ، إلى لغز آخر يتعلق بما أسميه لعبة طبيعية.,لم أتمكن من معالجة اللعبة الطبيعية في هذا الفصل.,2,"I turn, in the final section of this chapter, to yet another puzzle concerning what I call a natural game.",I could not address the natural game in this chapter.,xnli
كلبان يقتتلان من أجل لعبة حمراء و زهرية.,الكلاب في الفناء الخلفي.,1,two dogs fighting over a pink and red toy,The dogs are in the backyard.,snli
كلب عض دمية,كلب يأكل دمية,0,A dog is biting a doll,A dog is eating a doll,arNLI
وقالت امرأة أنها قطعت البطاطا,ليس هناك امرأة قطعت البطاطا,2,A woman is cutting a potato,There is no woman cutting a potato,arNLI
مجموعة من الرجال والفتيان ينظرون لأعلى على شيء.,مجموعة من الناس ينظرون لأعلى.,0,A group of men and boys look upwards at something.,A group of people looking up.,snli
"شخص في سيارة دفع رباعي, يثير أتربة كثيرة في الكثبان الرملية.",الشخص يركب سيارة دفع رباعي.,0,A person is on a four wheeler kicking up a lot of dirt in a dune.,The person is riding a four wheeler.,snli
راكب الأمواج يركب الموجة,راكب أمواج يركب الموجة,0,The wave is being ridden by a surfer,A surfer is riding the wave,arNLI
الشيء الثاني الذي ربما أنظر إليه هو ما يمكنهم تحمله,لا يهمني ما يستطيعون تحمل تكلفته.,2,and then the second thing i'd probably look at is uh what they can afford,I don't care about what they can afford.,xnli
نطلب من كل أمة أن تنضم إلينا.,سنفعل هذا بمفردنا!,2,We ask every nation to join us.,We will do this alone!,xnli
